Jugador,Equipo,pos1,pos2,pos3,Edad,Valor de mercado (Transfermarkt),Partidos jugados,Minutos jugados,País de nacimiento,Pasaporte,Pie,Altura,Peso,"Duelos aéreos ganados, %",Acciones de ataque exitosas/90,Goles/90,xG/90,Goles de cabeza/90,Remates/90,"Tiros a la portería, %","Goles hechos, %","Duelos atacantes ganados, %",Toques en el área de penalti/90,Faltas recibidas/90,Pases/90,xA/90,Asistencias,Desmarques/90,Jugadas claves/90,Ataque en profundidad/90,Regates/90,"Regates realizados, %"
S. Galindo,Gualberto Villarroel SJ,CF,AMF,LCMF,33,300000,27,1282,Bolivia,Bolivia,izquierdo,189,80,46.15,2.46,0.0,0.09,0.0,1.33,52.63,0.0,30.77,0.77,0.77,54.83,0.19,2,0.84,0.84,1.97,1.54,50.0
D. Palacio,Nacional Potosí,LW,LAMF,LWF,28,300000,32,2329,Colombia,Colombia,izquierdo,179,64,43.18,5.76,0.04,0.06,0.0,1.43,27.03,2.703,42.04,1.58,1.51,25.93,0.2,6,0.08,0.73,0.62,5.99,58.06
Rafinha,Guabirá,AMF,CF,LCMF,33,300000,32,2221,Brazil,Brazil,derecho,174,65,24.0,3.04,0.24,0.21,0.04,2.59,35.94,9.375,45.78,1.74,1.22,33.51,0.22,9,0.57,0.61,1.54,2.43,56.67
E. González,Shijiazhuang Gongfu,CF,,,26,300000,33,2961,Colombia,Colombia,derecho,189,0,39.18,2.22,0.55,0.36,0.06,2.22,49.32,24.658,30.94,3.71,1.91,13.74,0.04,2,0.03,0.15,0.64,2.16,47.89
B. Sobrero,CSKA 1948 Sofia,CF,,,26,300000,34,2340,Argentina,Argentina,,0,0,35.29,4.5,0.69,0.52,0.08,3.81,49.49,18.182,41.82,4.85,0.62,28.5,0.18,7,0.19,0.85,2.31,3.42,59.55
R. Ruidíaz,Atlético Grau,CF,,,35,2000000,22,1388,Peru,"Peru, Croatia",derecho,167,65,27.12,2.27,0.32,0.49,0.0,3.89,35.0,8.333,41.28,2.85,1.49,14.85,0.07,0,0.0,0.13,0.71,1.43,54.55
S. González,Sporting Cristal,RAMF,RW,RWF,25,1800000,32,2970,Argentina,Argentina,derecho,169,60,23.4,5.15,0.33,0.31,0.03,2.55,40.48,13.095,40.15,3.73,1.03,26.64,0.28,13,0.33,0.91,1.33,4.15,50.36
É. Flores,Universitario,CF,,,31,1200000,42,2715,Peru,Peru,izquierdo,170,72,30.59,2.12,0.27,0.2,0.1,2.19,28.79,12.121,39.89,2.82,1.43,21.08,0.13,5,0.13,0.56,1.16,1.62,44.9
A. Cantero,Alianza Lima,AMF,RWF,LW,27,1000000,28,1570,Argentina,Argentina,derecho,184,80,30.0,4.18,0.11,0.32,0.0,2.29,47.5,5.0,36.24,2.52,2.64,20.81,0.03,1,0.17,0.23,0.57,5.79,49.5
A. Valera,Universitario,CF,,,29,850000,40,3350,Peru,Peru,izquierdo,183,76,47.47,2.53,0.38,0.46,0.16,3.14,37.61,11.966,26.03,4.41,0.73,21.3,0.06,6,0.08,0.38,0.62,1.88,48.57
