Jugador,Equipo,pos1,pos2,pos3,Edad,Valor de mercado (Transfermarkt),Partidos jugados,Minutos jugados,País de nacimiento,Pasaporte,Pie,Altura,Peso,"Duelos aéreos ganados, %",Acciones de ataque exitosas/90,Goles/90,xG/90,Goles de cabeza/90,Remates/90,"Tiros a la portería, %","Goles hechos, %","Duelos atacantes ganados, %",Toques en el área de penalti/90,Faltas recibidas/90,Pases/90,xA/90,Asistencias,Desmarques/90,Jugadas claves/90,Ataque en profundidad/90,Regates/90,"Regates realizados, %"
T. Ángel,San Diego,CF,,,22,600000,35,2168,Colombia,"Colombia, England",izquierdo,174,69,18.37,1.79,0.25,0.28,0.04,1.99,39.58,12.5,31.58,2.78,0.5,15.19,0.05,2,0.25,0.37,0.79,1.2,55.17
M. Rodríguez,Ñublense,LW,LCMF,RW,30,500000,25,1513,Chile,Chile,derecho,170,65,32.0,3.69,0.18,0.13,0.0,1.01,23.53,17.647,35.9,1.31,1.25,44.26,0.11,3,0.36,0.54,1.01,5.12,50.0
M. Urruti,New England,CF,,,34,500000,20,803,Argentina,Argentina,derecho,184,73,36.84,2.02,0.22,0.21,0.11,2.47,40.91,9.091,59.26,3.7,1.57,14.57,0.04,0,0.22,0.0,0.34,1.34,66.67
H. Villalba,Peñarol,RW,CF,RAMF,30,2500000,24,966,Argentina,"Argentina, Paraguay",izquierdo,172,73,14.29,2.8,0.37,0.22,0.19,1.86,55.0,20.0,21.05,3.54,0.09,24.04,0.09,0,0.09,0.37,0.93,1.21,38.46
M. Gómez,Defensor Sporting,CF,,,28,2000000,14,1366,Uruguay,Uruguay,derecho,186,91,51.85,2.77,0.2,0.33,0.07,1.98,43.33,10.0,29.8,4.02,1.32,22.2,0.16,2,0.07,0.66,0.92,2.5,47.37
N. López,Nacional,CF,AMF,,31,2000000,44,3651,Uruguay,Uruguay,izquierdo,177,72,29.41,5.05,0.67,0.63,0.0,4.29,43.68,15.517,37.15,3.6,0.99,27.61,0.21,8,0.12,0.44,1.28,4.83,50.51
A. Medina,Everton,RW,LW,RWF,27,2000000,35,2815,Uruguay,Uruguay,derecho,170,71,29.73,3.42,0.19,0.13,0.0,1.79,33.93,10.714,41.07,1.57,0.86,34.4,0.19,6,0.16,0.38,1.18,3.1,57.73
T. Verón Lupi,Grasshopper,RW,RAMF,,24,1800000,30,1379,Argentina,"Argentina, Italy",derecho,173,66,31.58,7.64,0.2,0.26,0.0,2.55,33.33,7.692,50.25,3.52,1.89,27.67,0.33,4,0.07,0.91,1.11,7.05,69.44
A. Castro,Estudiantes,LCMF,LW,,30,1800000,33,1961,Argentina,Argentina,izquierdo,183,78,43.21,2.07,0.18,0.24,0.05,1.7,32.43,10.811,34.66,2.66,0.92,35.2,0.07,0,0.0,0.18,0.96,2.52,47.27
M. Silvera,Peñarol,CF,,,27,1500000,48,3910,Uruguay,Uruguay,derecho,176,68,29.91,1.73,0.3,0.33,0.0,2.21,35.42,13.542,26.95,4.37,1.15,19.84,0.13,3,0.12,0.37,0.97,1.8,43.59
J. Lavega,Fluminense,CF,RW,LW,20,1500000,20,1534,Uruguay,Uruguay,izquierdo,174,68,24.0,2.35,0.23,0.22,0.0,1.88,21.88,12.5,32.77,2.23,0.47,18.77,0.05,3,0.06,0.41,0.41,2.87,46.94
C. Ebere,Plaza Colonia,CF,,,27,1300000,22,1431,Nigeria,Nigeria,derecho,180,69,31.37,3.46,0.06,0.13,0.0,1.82,37.93,3.448,30.5,2.33,1.13,18.81,0.14,5,0.13,0.57,0.75,4.59,46.58
E. Darias,Peñarol,LCMF,LW,RW,27,1200000,30,2272,Uruguay,Uruguay,derecho,172,70,41.77,2.5,0.16,0.2,0.04,1.74,36.36,9.091,41.48,1.74,3.01,26.34,0.05,1,0.08,0.2,0.55,3.21,45.68
A. Ocampo,Plaza Colonia,LW,RW,LAMF,27,1200000,27,928,Uruguay,Uruguay,izquierdo,172,72,37.93,2.23,0.0,0.07,0.0,1.55,43.75,0.0,39.13,1.16,2.42,22.11,0.19,4,0.0,0.19,0.39,2.62,37.04
D. García,Peñarol,LAMF,LW,LCMF,28,1000000,43,2710,Uruguay,Uruguay,derecho,170,67,40.48,4.65,0.27,0.24,0.0,2.66,35.0,10.0,45.16,2.69,1.39,43.14,0.15,6,0.3,0.33,1.79,4.68,59.57
L. Sequeira,Huracán,CF,RAMF,RW,30,1000000,44,2202,Argentina,Argentina,derecho,177,80,41.09,2.74,0.12,0.26,0.08,1.92,42.55,6.383,29.76,3.39,1.35,18.15,0.04,0,0.08,0.29,0.41,3.72,39.56
A. Galeano,Ceará,RAMF,RW,RWF,25,1000000,55,3902,Paraguay,Paraguay,derecho,170,67,40.37,3.11,0.25,0.16,0.14,1.64,36.62,15.493,46.98,2.58,1.57,29.38,0.08,4,0.09,0.35,0.74,2.31,68.0
E. Vargas,,CF,,,35,1000000,43,2256,Chile,Chile,derecho,174,77,35.66,1.44,0.4,0.3,0.2,1.68,50.0,23.81,33.87,3.03,1.48,16.8,0.12,2,0.12,0.28,0.96,1.08,40.74
J. Báez,Peñarol,LW,LAMF,,30,900000,34,2262,Uruguay,"Uruguay, Italy",derecho,178,74,31.34,3.34,0.24,0.23,0.0,1.99,36.0,12.0,31.27,3.62,0.99,29.92,0.13,1,0.0,0.6,1.39,3.18,51.25
B. Barcia,Boston River,RW,RAMF,RCMF,24,800000,24,1541,Uruguay,Uruguay,derecho,182,76,38.71,3.39,0.12,0.06,0.0,0.64,27.27,18.182,32.35,1.46,0.76,26.69,0.08,0,0.06,0.35,0.64,5.49,43.62
Rómulo Otero,Nacional,RW,RAMF,LW,32,800000,50,2938,Venezuela,Venezuela,derecho,166,70,28.92,4.38,0.21,0.15,0.0,3.16,41.75,6.796,42.59,1.04,2.73,29.47,0.16,4,0.21,0.37,0.74,4.23,58.7
D. Herazo,Nacional,CF,,,29,750000,30,1498,Colombia,Colombia,derecho,180,81,33.62,1.32,0.48,0.34,0.06,2.4,32.5,20.0,27.06,3.54,0.72,10.09,0.16,4,0.0,0.42,0.66,0.84,50.0
Diego Zabala,Amazonas,LW,LWF,LAMF,33,750000,29,1583,Uruguay,Uruguay,derecho,171,66,28.13,3.07,0.17,0.21,0.06,1.76,41.94,9.677,31.13,2.62,0.45,30.19,0.25,4,0.28,0.51,1.82,2.9,45.1
C. Tabó,Rampla Juniors,LW,AMF,CF,31,700000,15,1130,Uruguay,Uruguay,derecho,174,73,32.14,3.03,0.08,0.25,0.0,1.99,20.0,4.0,31.52,2.95,1.19,26.04,0.16,0,0.0,0.32,0.72,4.62,39.66
M. Ocampo,Cerro,CF,RW,AMF,23,700000,18,1075,Uruguay,Uruguay,derecho,180,75,27.27,2.6,0.0,0.18,0.0,1.42,29.41,0.0,35.61,3.01,1.42,18.59,0.0,0,0.17,0.0,0.5,3.85,50.0
J. Cabrera,Peñarol,RW,RAMF,,33,700000,38,2541,Uruguay,Uruguay,derecho,173,68,46.15,4.32,0.21,0.1,0.04,1.38,35.9,15.385,37.44,3.19,0.67,34.57,0.19,7,0.14,0.92,1.24,2.55,61.11
Matheus Babi,Juventude,CF,,,28,700000,21,676,Brazil,Brazil,derecho,191,78,40.43,1.6,0.67,0.46,0.27,2.26,47.06,29.412,28.79,3.59,1.2,13.31,0.03,0,0.13,0.13,0.4,0.67,60.0
E. de los Santos,Unión La Calera,RAMF,RW,RCMF,26,700000,30,2036,Uruguay,Uruguay,derecho,169,64,40.91,3.18,0.04,0.06,0.0,1.15,23.08,3.846,44.22,1.33,1.64,39.56,0.07,1,0.04,0.35,0.44,3.36,51.32
J. Gutiérrez,Almería B,CF,LW,LAMF,23,650000,40,2770,Uruguay,"Uruguay, Italy",derecho,177,68,36.46,3.41,0.36,0.34,0.0,2.14,30.3,16.667,34.95,3.12,1.2,14.95,0.08,2,0.13,0.23,0.58,5.33,48.17
J. Báez,Sportivo Luqueño,AMF,LCMF,RW,25,650000,31,1814,Paraguay,Paraguay,derecho,173,68,20.0,1.24,0.0,0.04,0.0,0.6,16.67,0.0,36.36,0.89,0.55,40.29,0.1,3,0.2,0.3,1.14,0.79,43.75
A. Fernández,Racing Club,LAMF,RCMF,LW,24,600000,15,614,Argentina,Argentina,derecho,183,80,25.0,3.52,0.0,0.15,0.0,2.49,11.76,0.0,45.63,2.2,1.76,43.09,0.11,1,0.59,0.44,1.91,4.4,56.67
M. Cantera,Danubio,CF,AMF,,32,550000,23,1658,Uruguay,Uruguay,derecho,184,80,43.51,2.12,0.05,0.15,0.0,0.98,50.0,5.556,29.96,2.06,2.01,33.76,0.12,1,0.43,0.33,1.47,2.12,53.85
D. Nandín,Arouca,CF,,,23,550000,37,2898,Uruguay,Uruguay,derecho,186,78,25.84,2.11,0.34,0.43,0.03,1.68,50.0,20.37,31.17,3.23,1.65,14.1,0.07,1,0.22,0.25,0.47,2.24,48.61
H. Silveira,Racing,CF,,,32,550000,12,577,Uruguay,Uruguay,derecho,187,72,43.53,1.56,0.0,0.32,0.0,1.72,18.18,0.0,28.85,3.74,0.94,15.6,0.15,1,0.0,0.16,0.47,1.4,77.78
S. Núñez,Danubio,CF,,,25,550000,37,2473,Uruguay,Uruguay,derecho,177,75,26.39,0.94,0.11,0.29,0.0,1.21,31.25,9.375,31.52,2.6,1.62,9.73,0.04,2,0.0,0.11,0.45,0.9,50.0
R. Rivero,Wanderers,LWF,LAMF,LW,29,500000,16,995,Uruguay,Uruguay,izquierdo,170,69,32.26,3.35,0.45,0.42,0.0,3.08,44.12,14.706,35.66,1.54,1.63,31.39,0.09,1,0.0,0.0,0.36,3.62,37.5
E. Obregón,Torque,LAMF,RW,LW,23,500000,29,1854,Argentina,Argentina,derecho,177,69,37.7,3.88,0.0,0.18,0.0,1.84,28.95,0.0,35.31,2.67,1.17,22.72,0.12,2,0.1,0.29,0.73,5.39,52.25
M. Fonseca,Instituto,CF,,,24,500000,20,1090,Italy,"Italy, Uruguay",derecho,181,80,26.19,0.99,0.08,0.24,0.0,1.24,26.67,6.667,17.36,3.22,1.16,15.77,0.08,1,0.08,0.66,0.99,1.32,37.5
Diogo de Oliveira,Paysandu,CF,,,28,500000,28,2269,Brazil,Brazil,derecho,194,79,45.26,2.18,0.4,0.24,0.24,1.47,56.76,27.027,29.15,2.7,1.07,17.21,0.08,2,0.24,0.36,0.87,2.02,50.98
N. Dibble,Fénix,LW,CF,,31,475000,17,621,Uruguay,Uruguay,derecho,176,68,0.0,6.38,0.0,0.14,0.0,2.17,46.67,0.0,43.3,2.46,2.61,24.78,0.3,2,0.58,1.3,0.58,5.36,59.46
A. Anello,Boston River,LW,LAMF,LWF,23,450000,39,2092,United States,"United States, Italy",derecho,182,77,37.08,3.96,0.22,0.27,0.0,2.24,26.92,9.615,35.46,2.32,1.29,24.39,0.12,2,0.17,0.52,0.69,5.08,50.85
I. Yepez,Miramar Misiones,CF,LW,LAMF,26,450000,35,2481,Colombia,Colombia,,0,0,42.05,2.97,0.0,0.11,0.0,1.74,35.42,0.0,44.21,2.47,1.56,21.22,0.08,0,0.07,0.25,0.62,3.05,55.95
A. Hernández,Liverpool,CF,,,34,450000,27,1967,Uruguay,Uruguay,izquierdo,185,70,46.38,1.51,0.73,0.61,0.37,2.24,63.27,32.653,22.41,3.07,0.37,11.07,0.02,1,0.05,0.18,0.46,0.37,25.0
M. Peralta,Borneo FC,RW,LWF,LW,27,400000,41,3630,Argentina,Argentina,derecho,180,75,40.54,6.55,0.25,0.24,0.0,2.08,45.24,11.905,51.03,5.08,1.12,33.69,0.32,13,0.67,1.12,1.88,5.33,64.65
J. Neris,Torque,CF,,,25,400000,24,1784,Uruguay,Uruguay,derecho,183,82,38.67,2.12,0.35,0.39,0.0,2.07,43.9,17.073,22.78,3.73,1.11,13.62,0.1,1,0.0,0.25,0.61,1.72,50.0
L. Hernández,Peñarol,LB,LW,,32,400000,43,1973,Uruguay,Uruguay,izquierdo,175,83,35.48,2.78,0.09,0.11,0.0,0.59,15.38,15.385,36.89,1.55,0.59,41.65,0.2,5,0.0,0.68,0.96,2.46,50.0
L. Suhr,Sarmiento,RW,RAMF,CF,27,400000,31,2087,Uruguay,Uruguay,derecho,175,81,39.51,4.36,0.13,0.12,0.0,1.21,35.71,10.714,42.52,2.85,2.07,16.56,0.14,2,0.09,0.43,0.78,4.83,61.61
P. García,San Martín San Juan,RW,RCMF,RAMF,26,400000,28,2059,Uruguay,Uruguay,derecho,178,66,27.27,2.67,0.04,0.16,0.0,1.01,34.78,4.348,37.05,1.44,1.31,36.24,0.15,2,0.39,0.66,1.36,2.97,48.53
H. Toledo,Deportivo Maldonado,LAMF,CF,,29,400000,23,1588,Argentina,Argentina,derecho,181,73,21.43,8.27,0.06,0.16,0.0,1.53,33.33,3.704,43.3,3.46,2.21,29.02,0.2,7,0.17,0.96,1.02,8.9,58.6
F. Santander,Sportivo Luqueño,CF,,,34,400000,25,1316,Paraguay,Paraguay,derecho,187,84,41.61,1.23,0.34,0.4,0.0,2.67,25.64,12.821,32.61,3.56,1.44,20.79,0.02,0,0.21,0.21,0.89,0.68,70.0
A. Machado,Peñarol,CF,,,23,375000,32,1940,Uruguay,Uruguay,izquierdo,179,77,36.89,2.46,0.23,0.26,0.0,1.53,48.48,15.152,27.46,2.97,0.6,16.7,0.05,1,0.05,0.42,0.6,2.64,43.86
I. Pereira,Real Cartagena,LAMF,LW,RWF,27,375000,21,832,Uruguay,Uruguay,izquierdo,178,62,30.43,3.14,0.22,0.24,0.0,1.3,41.67,16.667,39.47,3.57,0.76,23.15,0.1,1,0.22,0.22,0.76,3.79,51.43
J. Quintana,River Plate,RB,RW,,25,350000,36,2932,Uruguay,Uruguay,derecho,176,73,33.33,2.98,0.03,0.03,0.0,0.52,29.41,5.882,41.43,0.74,0.68,26.21,0.13,3,0.03,0.4,0.37,2.92,54.74
J. Berríos,Carabobo,CF,RW,RWF,28,350000,41,2871,Colombia,Colombia,derecho,180,0,31.82,2.89,0.13,0.13,0.0,1.06,36.36,12.121,38.86,2.76,1.67,18.13,0.08,1,0.03,0.32,0.58,3.24,55.45
F. Soldano,Defensor Sporting,CF,RW,,30,325000,22,1962,Argentina,"Argentina, Italy",derecho,180,79,42.61,1.33,0.05,0.17,0.05,1.38,26.67,3.333,27.78,2.61,0.64,16.61,0.07,1,0.05,0.18,0.55,1.06,52.17
B. Hurtado,Miramar Misiones,LW,CF,LAMF,26,325000,20,1000,Venezuela,Venezuela,izquierdo,184,73,41.18,3.24,0.18,0.1,0.09,1.17,30.77,15.385,41.18,2.25,0.81,22.5,0.07,0,0.09,0.18,0.45,2.61,58.62
E. da Silva,Racing,CF,RW,RWB,24,325000,33,2133,Uruguay,Uruguay,derecho,168,0,33.68,3.63,0.21,0.22,0.04,1.6,31.58,13.158,39.92,3.25,0.76,24.68,0.14,3,0.13,0.55,0.93,4.77,50.44
E. Busquets,Torque,LB,RB,RW,24,325000,22,1927,Uruguay,"Uruguay, Italy",derecho,173,69,45.31,1.17,0.09,0.06,0.05,0.7,26.67,13.333,33.75,1.07,0.93,33.39,0.1,1,0.09,0.33,0.37,0.93,40.0
M. Acuña,Mushuc Runa,CF,,,32,300000,32,2261,Uruguay,Uruguay,derecho,174,68,32.29,2.11,0.48,0.42,0.16,2.03,43.14,23.529,23.55,3.34,1.95,10.47,0.09,2,0.16,0.2,0.68,1.91,41.67
G. Bueno,Danubio,CF,LAMF,LW,32,300000,18,594,Uruguay,"Uruguay, Portugal",izquierdo,176,74,0.0,3.94,0.15,0.15,0.0,2.42,50.0,6.25,40.48,3.03,1.82,22.58,0.17,1,0.0,0.3,1.06,1.82,58.33
Dudu,,LCMF,LW,LWF,22,300000,8,500,Brazil,Brazil,izquierdo,184,68,38.89,3.6,0.18,0.14,0.0,1.26,57.14,14.286,47.06,2.34,1.98,22.68,0.03,0,0.0,0.0,0.54,3.96,50.0
C. Barros,Plaza Colonia,LW,CF,RW,25,300000,29,1791,Uruguay,Uruguay,derecho,168,62,42.37,2.71,0.2,0.21,0.0,2.76,30.91,7.273,35.43,1.91,1.96,29.1,0.09,0,0.3,0.3,1.01,2.86,45.61
A. González,Boston River,CF,,,22,300000,29,1344,Uruguay,Uruguay,derecho,182,73,44.25,1.47,0.2,0.26,0.07,1.88,35.71,10.714,33.61,2.95,0.8,15.27,0.1,2,0.13,0.13,0.6,1.14,47.06
N. Queiroz,Wanderers,LCMF,RCMF,RW,29,300000,26,1047,Uruguay,Uruguay,derecho,179,69,16.67,3.09,0.09,0.06,0.0,1.38,31.25,6.25,50.0,0.52,0.6,36.53,0.09,0,0.17,0.26,0.69,3.44,62.5
G. Vega,Fénix,RW,RAMF,LW,33,300000,23,1537,Uruguay,Uruguay,derecho,172,70,13.95,3.98,0.06,0.1,0.0,1.64,25.0,3.571,40.25,2.34,1.46,33.03,0.13,1,0.18,0.59,1.11,4.45,60.53
N. Fernández,Progreso,LW,RW,AMF,22,300000,36,2660,Uruguay,Uruguay,,0,0,34.33,3.76,0.1,0.12,0.0,1.45,39.53,6.977,46.9,2.17,1.22,36.37,0.11,2,0.07,0.37,0.98,3.65,57.41
N. González,Progreso,CF,,,28,300000,32,2128,Uruguay,Uruguay,derecho,183,81,37.5,1.82,0.21,0.34,0.0,1.9,46.67,11.111,23.9,3.3,1.48,12.73,0.04,1,0.13,0.13,0.63,1.35,40.63
B. Acosta,Copiapó,LAMF,RW,LW,27,300000,23,1444,Uruguay,Uruguay,derecho,178,70,34.15,4.8,0.12,0.11,0.0,1.99,12.5,6.25,35.15,2.24,0.81,24.25,0.09,2,0.12,0.44,0.44,6.48,46.15
E. Larrosa,Cerro,CF,,,24,300000,23,1978,Uruguay,Uruguay,izquierdo,185,75,40.43,1.3,0.36,0.47,0.1,2.25,36.17,17.021,13.79,3.17,0.62,14.15,0.02,0,0.1,0.19,0.58,1.06,27.27
O. Falconis,Cerro,LW,AMF,RWF,25,300000,17,556,Uruguay,Uruguay,izquierdo,170,68,34.38,4.37,0.32,0.21,0.0,2.75,29.41,11.765,37.63,2.59,2.43,18.13,0.15,0,0.0,0.16,0.49,5.67,60.0
L. Otormín,Cerro Largo,CF,AMF,,28,300000,30,1805,Uruguay,Uruguay,derecho,172,70,28.81,2.04,0.2,0.16,0.0,1.99,30.0,10.0,29.25,1.4,0.85,29.82,0.14,3,0.15,0.3,0.9,2.14,37.21
N. Mezquida,Vancouver FC,AMF,CF,RW,33,300000,20,1136,Uruguay,"Uruguay, Italy",derecho,171,0,23.26,3.09,0.32,0.27,0.0,1.98,48.0,16.0,35.58,2.77,1.35,27.65,0.05,0,0.08,0.0,0.79,2.22,67.86
F. Pérez,Rentistas,LAMF,LW,,23,300000,24,1094,Uruguay,Uruguay,izquierdo,168,0,36.36,4.36,0.08,0.04,0.0,0.82,50.0,10.0,39.71,3.21,0.99,22.71,0.15,1,0.08,0.33,0.9,5.68,52.17
V. Amoroso,Albion,LW,LWF,LCMF,24,300000,28,1660,Uruguay,Uruguay,,0,0,50.0,3.8,0.16,0.13,0.0,1.08,55.0,15.0,41.43,1.41,1.19,23.75,0.11,0,0.0,0.33,0.49,3.36,54.84
D. Bittencourt,Tacuarembó,CF,,,29,300000,25,1154,Brazil,Brazil,derecho,182,75,30.16,1.4,0.23,0.24,0.0,2.57,18.18,9.091,25.2,2.11,0.62,15.68,0.02,0,0.16,0.08,0.55,2.34,36.67
S. Sosa,Everton,CF,,,31,300000,34,2845,Uruguay,Uruguay,derecho,186,79,48.08,1.96,0.35,0.41,0.06,2.12,55.22,16.418,30.33,3.29,0.73,18.82,0.09,4,0.06,0.25,0.66,0.82,61.54
M. Camarda,San Marcos,CF,,,24,300000,29,1553,Uruguay,"Uruguay, Italy",derecho,183,71,29.91,2.55,0.46,0.4,0.0,2.14,37.84,21.622,25.88,3.19,0.99,14.66,0.05,0,0.23,0.23,0.52,2.61,55.56
C. Spinelli,Independiente del Valle,CF,,,28,300000,44,3356,Argentina,"Argentina, Italy",derecho,180,80,41.78,2.01,0.64,0.5,0.24,2.49,49.46,25.806,23.89,3.14,1.34,10.83,0.01,0,0.0,0.11,0.27,1.56,46.55
I. Machuca,Vélez Sarsfield,LAMF,AMF,LW,25,3000000,22,1010,Argentina,Argentina,derecho,170,70,25.0,5.26,0.09,0.08,0.0,0.89,20.0,10.0,39.22,2.05,1.6,29.32,0.14,1,0.09,0.62,0.53,7.31,60.98
F. Cardozo,Olimpia,RW,RAMF,RWF,24,3000000,27,1285,Paraguay,Paraguay,derecho,173,67,24.07,2.03,0.0,0.15,0.0,1.47,14.29,0.0,32.26,2.24,1.12,29.56,0.07,0,0.07,0.56,0.7,2.24,46.88
A. Vombergar,San Lorenzo,CF,,,30,3000000,44,2894,Argentina,"Argentina, Slovenia",derecho,187,79,37.16,1.0,0.31,0.33,0.09,1.4,44.44,22.222,20.57,2.24,0.68,14.4,0.04,1,0.03,0.12,0.28,0.75,37.5
Á. Di María,Rosario Central,RAMF,RWF,RW,37,3000000,34,2527,Argentina,"Argentina, Italy",izquierdo,178,69,0.0,6.09,0.46,0.49,0.0,3.18,40.7,15.116,38.87,3.03,1.77,39.52,0.2,6,0.7,0.81,2.55,6.32,45.03
S. Villa,Independiente Rivadavia,CF,LWF,LAMF,29,3000000,42,4043,Colombia,Colombia,derecho,179,71,14.75,7.02,0.18,0.19,0.0,2.17,34.74,7.368,46.44,2.23,1.37,27.76,0.19,9,0.43,0.64,1.05,7.54,58.01
T. Palacios,Estudiantes,RAMF,AMF,RW,24,2800000,45,3671,Argentina,"Argentina, Uruguay",izquierdo,167,68,23.81,4.58,0.22,0.21,0.0,2.43,28.28,9.091,38.49,2.75,1.3,33.0,0.17,7,0.39,0.66,1.37,5.42,51.58
F. Pizzini,Vélez Sarsfield,RAMF,LW,,31,2700000,49,3317,Argentina,"Argentina, Italy",derecho,177,77,32.14,4.59,0.16,0.18,0.0,1.85,42.65,8.824,38.97,3.34,1.79,32.75,0.13,3,0.27,0.46,0.9,4.86,53.07
M. Luna Diale,Akhmat Grozny,CF,LCMF,AMF,26,2500000,16,747,Argentina,Argentina,derecho,173,66,39.02,2.77,0.12,0.07,0.12,1.2,30.0,10.0,44.87,1.33,1.2,24.58,0.07,0,0.36,0.0,0.72,3.01,60.0
W. Mazzantti,Independiente,RAMF,RW,RWF,28,2500000,48,3921,Argentina,Argentina,derecho,174,68,38.1,3.28,0.14,0.15,0.05,1.06,41.3,13.043,36.73,3.03,2.2,20.02,0.07,6,0.18,0.34,0.71,3.31,57.64
M. Salas,River Plate,LWF,CF,LW,27,2500000,53,3750,Argentina,Argentina,izquierdo,174,82,30.67,3.64,0.19,0.26,0.02,2.29,37.89,8.421,35.07,3.57,1.62,20.14,0.12,7,0.12,0.48,0.87,3.52,50.68
F. Girotti,Talleres Córdoba,CF,,,26,2500000,46,2807,Argentina,"Argentina, Italy",derecho,189,82,49.04,1.41,0.22,0.21,0.03,1.73,37.04,12.963,18.78,2.31,0.38,17.67,0.06,2,0.16,0.38,0.51,1.19,35.14
Rick,Talleres Córdoba,LW,LAMF,LWF,25,2500000,47,3265,Brazil,Brazil,derecho,170,70,28.0,6.17,0.17,0.16,0.0,2.15,28.21,7.692,42.26,2.81,2.09,28.78,0.14,3,0.39,0.5,0.83,7.25,53.61
T. Galván,Vélez Sarsfield,LAMF,AMF,LW,25,2200000,33,2597,Argentina,Argentina,derecho,172,67,24.0,1.63,0.1,0.09,0.0,0.9,30.77,11.538,42.53,2.08,1.52,37.57,0.09,2,0.24,0.28,1.04,2.04,55.93
M. Pellegrini,Vélez Sarsfield,LAMF,LW,RAMF,25,2200000,38,1259,Argentina,Argentina,derecho,176,68,43.1,3.29,0.0,0.15,0.0,1.07,46.67,0.0,38.29,1.86,1.72,29.67,0.09,2,0.14,0.36,1.22,4.0,50.0
F. González,Defensa y Justicia,RAMF,RWF,RW,24,2200000,36,2000,Argentina,Argentina,izquierdo,171,70,35.38,3.51,0.14,0.19,0.05,1.66,43.24,8.108,42.55,2.39,1.93,25.6,0.15,3,0.0,0.5,0.54,3.51,51.28
J. Carbonero,Internacional,LAMF,LW,CF,26,2200000,38,2018,Colombia,Colombia,derecho,170,71,30.56,5.08,0.27,0.29,0.0,2.54,36.84,10.526,44.95,3.48,2.45,27.47,0.13,1,0.58,0.54,1.65,5.71,57.81
L. Vietto,Racing Club,AMF,LWF,RWF,31,2000000,30,1542,Argentina,"Argentina, Italy",derecho,173,65,10.53,2.45,0.47,0.36,0.0,2.28,41.03,20.513,27.81,2.63,1.05,27.26,0.18,2,0.29,0.76,2.33,1.98,35.29
A. Luna,Instituto,CF,LW,,21,2000000,32,2316,Argentina,Argentina,derecho,174,71,24.44,4.51,0.23,0.2,0.04,2.6,26.87,8.955,39.41,1.87,3.65,21.53,0.14,3,0.31,0.39,0.93,5.91,46.05
B. Armoa,Tigre,CF,RW,RAMF,25,2000000,29,1573,Paraguay,Paraguay,derecho,177,67,24.04,2.12,0.17,0.23,0.0,1.72,33.33,10.0,30.99,3.03,1.54,15.16,0.06,3,0.0,0.17,0.23,2.12,54.05
G. Maroni,Newell's Old Boys,AMF,CF,,26,2000000,41,2824,Argentina,Argentina,derecho,175,69,40.28,3.12,0.1,0.2,0.03,1.94,31.15,4.918,38.9,2.42,1.53,36.27,0.15,5,0.35,0.54,1.69,3.73,47.01
V. Taborda,Platense,AMF,LW,CF,24,2000000,35,2556,Argentina,"Argentina, Italy",derecho,178,71,38.03,2.5,0.21,0.1,0.04,1.27,38.89,16.667,36.69,1.69,2.18,33.7,0.1,1,0.25,0.18,0.95,3.38,45.83
Pity Martínez,River Plate,LAMF,LW,LCMF,32,2000000,21,792,Argentina,"Argentina, Italy",izquierdo,172,75,50.0,6.93,0.11,0.27,0.0,3.52,32.26,3.226,48.61,2.61,4.2,44.09,0.28,4,1.02,1.14,1.7,6.25,54.55
S. Rodríguez,Colo Colo,CF,,,25,2000000,40,2717,Uruguay,Uruguay,izquierdo,186,81,37.31,1.59,0.33,0.42,0.1,2.09,46.03,15.873,23.5,2.75,1.16,12.89,0.03,1,0.1,0.17,0.33,1.29,43.59
R. Martínez,Al Taawon,CF,,,30,1800000,40,2697,Colombia,Colombia,derecho,180,89,34.62,3.17,0.3,0.3,0.03,2.3,42.03,13.043,33.01,3.3,1.84,17.72,0.07,3,0.2,0.4,0.67,4.07,48.36
C. Palacios,Boca Juniors,AMF,CF,,25,1800000,40,3225,Chile,Chile,derecho,180,76,33.33,2.29,0.22,0.18,0.0,1.53,38.18,14.545,36.33,1.2,1.26,45.82,0.16,5,0.56,0.42,1.56,2.62,47.87
A. Martegani,Boca Juniors,LW,AMF,LCMF,25,1800000,13,617,Argentina,"Argentina, Italy",izquierdo,185,75,59.26,1.46,0.0,0.04,0.0,0.73,20.0,0.0,30.88,0.73,1.75,30.92,0.07,0,0.44,0.29,0.58,2.92,40.0
A. Urzi,Huracán,LAMF,RAMF,LW,25,1800000,33,1504,Argentina,"Argentina, Italy",izquierdo,169,71,27.03,2.33,0.12,0.14,0.0,1.56,19.23,7.692,35.67,1.38,2.09,24.77,0.11,1,0.18,0.48,0.6,2.57,48.84
M. Giménez,Boca Juniors,CF,,,28,1800000,45,2534,Argentina,Argentina,derecho,183,81,28.5,1.46,0.43,0.35,0.11,1.88,30.19,22.642,26.29,2.59,1.49,10.02,0.06,3,0.04,0.18,0.67,2.13,38.33
W. Bou,Lanús,CF,,,31,1700000,45,3593,Argentina,Argentina,derecho,174,74,25.0,2.05,0.23,0.32,0.05,2.13,44.71,10.588,23.69,3.76,0.58,21.44,0.09,2,0.13,0.6,0.78,1.23,55.1
